,#,text,target,pred2,pred5,compare1,compare2
40,41,final stop ad devic tweet write wast screen space amp comput everi tweet liter even know …,0,1.0,1.0,1.0,1.0
41,42,part turn off “microservices” bloatwar less actual need twitter work,1,1.0,1.0,0.0,0.0
42,43,tell rpc independ sever engin twitter match microserv exemploy wrong app take sec refresh long sec india due bad batchingverbo comm actual use data transfer low,0,0.0,0.0,0.0,0.0
43,44,tesla cover part week,1,1.0,1.0,0.0,0.0
44,45,true food great fact dont realiz microserv call someon use twitter app not great,0,0.0,0.0,0.0,0.0
45,46,spacex starlink buy not larg ad packag test effect twitter adverti australia amp spain fbinstagoogl,1,1.0,0.0,0.0,-1.0
46,47,twitter super slow android fix,0,0.0,0.0,0.0,0.0
47,48,plea correct right number,0,1.0,1.0,1.0,1.0
48,49,fal twitter spendsmyear food servic sf hq badg record show peak occup averag occup peopl prepar breakfast eat breakfast don’t even bother serv dinner build,0,1.0,1.0,1.0,1.0
49,50,increa granular verifi actual mean right move,1,1.0,1.0,0.0,0.0
50,51,especi bizarr give almost come offic estim cost lunch serv month gt,0,0.0,0.0,0.0,0.0
51,52,hope keep cur twitter increa adverti revenu,1,1.0,1.0,0.0,0.0
52,53,enabl manag affili,1,1.0,1.0,0.0,0.0
53,54,output compani vector sum peopl someon strong vector neg affect degr net neg,0,0.0,0.0,0.0,0.0
54,55,btw id apolog twitter super slow mani countri app poorli batch rpc render home timelin,0,0.0,0.0,0.0,0.0
55,56,ultim think choic twitter final arbit i’m open suggest,1,1.0,1.0,0.0,0.0
56,57,roll soon twitter enabl organ identifi twitter account actual associ,1,1.0,1.0,0.0,0.0
57,58,amphetamin neg affect empathi psychedel opposit,0,0.0,0.0,0.0,0.0
58,59,suggest senat abu polit power,0,1.0,1.0,1.0,1.0
59,60,mike twitter core softwar server compani technolog need evolv rapidli requir technologist,1,1.0,1.0,0.0,0.0
60,61,sbf major dem donor investig,1,1.0,1.0,0.0,0.0
61,62,perhap real account sound parodi,1,1.0,1.0,0.0,0.0
62,63,say want actual smart summon asap,1,1.0,1.0,0.0,0.0
63,64,make tesla supercharg connector avail right thing,1,1.0,1.0,0.0,0.0
64,65,space evolv potenti truli great,1,1.0,1.0,0.0,0.0
65,66,fal anyon offic howev not logist person matter stay home fine work remot also ok manag vouch excel polici tesla spacex,1,1.0,1.0,0.0,0.0
66,67,give take week expand beta week wide relea canada,0,1.0,1.0,1.0,1.0
67,68,join grow team instal solar powerw,1,1.0,1.0,0.0,0.0
68,69,tesla solar powerw power home reduc depend grid low price,1,1.0,1.0,0.0,0.0
69,70,ftx meltdownransack track realtim twitter,0,1.0,1.0,1.0,1.0
70,71,accur set off b detector not think b,0,0.0,0.0,0.0,0.0
71,72,full answer insulin price question complex short answer origin insulin discov not inexpen cost littl new high efficaci analog variant insulin expen,1,1.0,1.0,0.0,0.0
72,73,use internet guy fail rocketscar rocketscar guy fail internet liter medium outlet,0,0.0,0.0,0.0,0.0
73,74,happi veteran serv,1,1.0,1.0,0.0,0.0
74,75,mayb default subscrib way well name,1,1.0,1.0,0.0,0.0
75,76,pursuit mission open ev connector design,1,1.0,1.0,0.0,0.0
76,77,birdwatch soon renam commun note incr potenti improv inform accuraci twitter,1,1.0,1.0,0.0,0.0
77,78,thank thermonuclear name shame exactli happen continu,0,0.0,0.0,0.0,0.0
78,79,regard twitter reduct forc unfortun choic compani lose mday everyon exit offer month sever legal requir,0,0.0,0.0,0.0,0.0
79,80,crystal clear twitter strong commit content moder remain absolut unchang fact actual see hate speech time week declin prior norm contrari read press,1,1.0,0.0,0.0,-1.0
80,81,twitter massiv drop revenu due activist group pressur adverti even chang content moder everyth appea activist extrem mess theyr tri destroy free speech america,0,0.0,0.0,0.0,0.0
81,82,unsur confirm deni alien convinc alien,1,1.0,1.0,0.0,0.0
82,83,consist bidirect interact twitter think collect cybernet superintellig,1,1.0,1.0,0.0,0.0
83,84,true twitter amaz content japan roughli half adult onlin almost never see outsid japan,0,1.0,1.0,1.0,1.0
84,85,entitl not mad pay month mad anyon pay month,0,0.0,0.0,0.0,0.0
85,86,twitter simpli interest place internet read tweet right,1,1.0,1.0,0.0,0.0
86,87,still fair bit polish major relea pose minor relea,1,1.0,1.0,0.0,0.0
87,88,verifi account violat term servic eg spamscamimperson theyll suspend twitter keep money definit add cool stuff suggest twitter blue,1,1.0,1.0,0.0,0.0
88,89,absolut agr twitter safeti board peopl viewpoint,1,1.0,1.0,0.0,0.0
89,90,commun note featur awesom goal make twitter accur sourc inform earth regard polit affili,1,1.0,1.0,0.0,0.0
90,91,twitter content moder council includ repr wide diverg view certainli includ civil right commun group face hatefuel violenc,1,1.0,1.0,0.0,0.0
91,92,twitter not allow anyon deplatform violat twitter rule back platform clear process take least week,0,0.0,0.0,0.0,0.0
92,93,talk civil societi leader ken hersch twitter continu combat hate harass enforc elect integr polici,1,0.0,0.0,-1.0,-1.0
93,94,stay vigil attempt manipul conver midterm read independ analysi,1,1.0,1.0,0.0,0.0
94,95,secondari tag name someon public figur alreadi case politician,1,1.0,1.0,0.0,0.0
95,96,ye destroy bot pay blue account engag spamscam account suspend essenti rai cost crime twitter sever order magnitud,0,0.0,0.0,0.0,0.0
96,97,twitter current lord peasant system doesnt blue checkmark bullshit power peopl blue month,0,0.0,0.0,0.0,0.0
97,98,heavi launch ussf orbit side booster return earth spacex th mission,1,1.0,1.0,0.0,0.0
98,99,explain ration long form implement way defeat bot troll,1,1.0,1.0,0.0,0.0
99,100,weve make question tweet want clear support yoel sen high integr entitl polit belief,1,1.0,1.0,0.0,0.0
100,101,good point abl select version twitter want probabl well much movi matur rate rate tweet selfselect feedback,1,1.0,1.0,0.0,0.0
101,102,twitter form content moder council wide diver viewpoint major content deci account reinstat happen council conven,1,1.0,1.0,0.0,0.0
102,103,new york time emerg new chaotic actor global polit paper interv world combust conflict sometim boon messag also cau problem,0,0.0,0.0,0.0,0.0
103,104,beauti thing twitter empow citizen journal peopl dissemin news establish bia,1,1.0,1.0,0.0,0.0
